"<HEADER software/>"
EwEVersion,"6.7.0.17300 (compiled 6/04/2021)"
Date,"29/06/2021 4:46:24 PM"
"<HEADER ecopath/>"
ModelName,SEF2021
"<HEADER ecosim/>"
EcosimScenario,"zero fishing"
TimeSeries,-
StartYear,1994
"<HEADER end/>"

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2004,0.02053293,0.02054415,0.1218174,0.8077981,0.8190592,0.2902816,0.09560133,0.163843,0.3436844,0.3264172,0.4737754,0.09056371,0.3217418,0.3792172,0.5069506,0.2040752,0.1338252,0.7235946,0.2294578,0.295104,0.503652,0.574478,0.75564,0.6518828,0.57387,0.3663813,0.7421113,0.2027286,0.198524,0.169119,0.1712727,0.2244451,0.244472,0.2900077,0.5224213,0.3929095,0.2991141,0.304149,0.4882465,0.1502641,0.8419092,0.4515457,0.2792585,0.1211779,0.3344238,2.606952,2.339134,7.514366,1.617103,2.473896,6.237199,47.84593,5.366601,5.141994,19.8831,298.3156,4.434591,0,0
2005,0.02066996,0.02058443,0.121895,0.8084304,0.8186452,0.2904018,0.09599712,0.1637668,0.3437136,0.3282261,0.4723345,0.09100538,0.3250732,0.3822584,0.5074985,0.2056172,0.1333876,0.7300897,0.2297678,0.2954724,0.5033417,0.5760996,0.7514145,0.6516162,0.5738127,0.3675415,0.749417,0.2018431,0.1983695,0.1692426,0.1706677,0.2240059,0.2444767,0.289953,0.5244564,0.3917983,0.2992937,0.3035764,0.489423,0.1505944,0.8472197,0.450707,0.2803099,0.121456,0.3354544,2.621776,2.333749,7.51358,1.617185,2.472281,6.238172,47.88445,5.353433,5.120524,19.87839,298.3796,4.431566,0,0
2006,0.02080442,0.02061903,0.1219661,0.8088635,0.8180175,0.2905089,0.09637343,0.1636967,0.3437109,0.3297396,0.4710872,0.09136882,0.3279313,0.3848808,0.5079743,0.206907,0.1330464,0.7356189,0.2300152,0.2957669,0.5032129,0.5779192,0.7474369,0.6512824,0.5738261,0.3686347,0.755774,0.2009881,0.198279,0.169347,0.1701196,0.223585,0.2444798,0.2900295,0.5261813,0.3907671,0.2994341,0.3029836,0.4904343,0.1508891,0.8520933,0.4498809,0.2812038,0.1217204,0.336306,2.636782,2.328486,7.513525,1.616958,2.470953,6.233677,47.92071,5.340038,5.100452,19.87506,298.4421,4.42837,0,0
2007,0.0209342,0.02064833,0.1220306,0.8090912,0.8172432,0.2906046,0.09672449,0.1636236,0.3436712,0.330999,0.4699992,0.09166485,0.330378,0.3871368,0.508381,0.2079762,0.132778,0.7403027,0.2302107,0.2959991,0.5032086,0.5798199,0.7436985,0.6509051,0.5738875,0.3696564,0.7612918,0.2001754,0.1982358,0.1694325,0.1696148,0.2231852,0.2444816,0.2902265,0.5276486,0.3898257,0.2995423,0.3023905,0.4913057,0.1511508,0.856562,0.4490724,0.2819656,0.1219667,0.3370077,2.651688,2.323389,7.51408,1.616499,2.469928,6.225061,47.95433,5.326706,5.081693,19.87281,298.5023,4.425136,0,0
2008,0.02105787,0.02067273,0.1220886,0.8091423,0.8163721,0.2906902,0.0970467,0.1635424,0.3435936,0.3320391,0.4690433,0.09190247,0.3324667,0.3890718,0.5087236,0.2088526,0.1325649,0.7442456,0.2303626,0.2961788,0.5032889,0.5817235,0.7401888,0.6505036,0.5739813,0.3706075,0.7660627,0.1994131,0.1982269,0.1695,0.1691442,0.2228073,0.2444822,0.2905302,0.5289041,0.388979,0.2996244,0.3018097,0.4920599,0.1513826,0.8606537,0.4482845,0.2826159,0.1221923,0.3375828,2.666298,2.318486,7.515119,1.615871,2.4692,6.21352,47.98526,5.313639,5.064171,19.87142,298.56,4.421969,0,0
2009,0.02117444,0.02069265,0.1221402,0.8090549,0.8154399,0.2907671,0.09733785,0.1634507,0.34348,0.3328897,0.4681978,0.09208932,0.3342433,0.3907254,0.5090073,0.2095612,0.1323941,0.7475389,0.2304777,0.2963146,0.5034254,0.5835804,0.7368968,0.6500919,0.574097,0.3714918,0.7701669,0.1987056,0.1982424,0.1695505,0.1687015,0.2224513,0.244482,0.2909255,0.529987,0.3882282,0.2996852,0.3012498,0.4927162,0.1515875,0.8643941,0.4475185,0.2831709,0.1223954,0.3380505,2.680479,2.313792,7.516534,1.615126,2.468749,6.200053,48.01355,5.300968,5.047815,19.8707,298.6147,4.418944,0,0
2010,0.02128327,0.02070855,0.1221856,0.8088637,0.8144735,0.2908363,0.09759676,0.1633478,0.3433339,0.3335763,0.4674458,0.09223193,0.335748,0.3921322,0.5092378,0.2101239,0.1322561,0.7502629,0.2305619,0.2964132,0.5035989,0.5853607,0.7338111,0.6496806,0.574227,0.3723142,0.773676,0.1980555,0.1982747,0.1695854,0.1682826,0.2221167,0.2444812,0.2913971,0.530929,0.3875713,0.2997291,0.3007163,0.4932908,0.1517684,0.8678086,0.4467751,0.2836443,0.1225753,0.3384265,2.694148,2.309314,7.518232,1.614309,2.468543,6.185455,48.03932,5.288781,5.032557,19.87047,298.6664,4.416103,0,0
2011,0.02138398,0.02072084,0.1222251,0.8085976,0.8134937,0.2908986,0.09782302,0.1632343,0.3431598,0.3341211,0.4667739,0.09233608,0.3370161,0.3933224,0.509421,0.2105602,0.1321438,0.7524889,0.23062,0.2964806,0.5037955,0.5870473,0.7309204,0.6492769,0.5743663,0.3730802,0.7766547,0.1974636,0.1983183,0.1696057,0.1678847,0.2218025,0.24448,0.2919303,0.5317568,0.3870039,0.2997594,0.3002126,0.4937975,0.1519279,0.870922,0.4460548,0.2840475,0.1227317,0.3387243,2.70725,2.30506,7.520133,1.613451,2.468548,6.170339,48.06274,5.277129,5.018329,19.87063,298.7151,4.413467,0,0
2012,0.02147635,0.02072998,0.1222588,0.8082795,0.8125167,0.2909547,0.09801678,0.1631116,0.3429625,0.3345433,0.4661711,0.09240677,0.3380779,0.3943227,0.5095622,0.2108874,0.1320518,0.754279,0.2306566,0.2965219,0.5040055,0.5886324,0.7282134,0.6488848,0.5745111,0.3737945,0.7791609,0.1969297,0.1983692,0.169613,0.167506,0.2215076,0.2444785,0.2925112,0.5324916,0.3865205,0.2997789,0.299741,0.4942473,0.1520686,0.8737585,0.4453577,0.2843902,0.1228647,0.338955,2.719759,2.301027,7.522174,1.612576,2.468725,6.155155,48.08398,5.266038,5.005071,19.87108,298.7607,4.411039,0,0
2013,0.02156034,0.02073635,0.1222871,0.8079265,0.8115561,0.2910054,0.09817868,0.1629814,0.3427468,0.3348598,0.4656285,0.09244844,0.3389604,0.3951567,0.5096668,0.2111208,0.1319761,0.755689,0.2306754,0.2965411,0.5042223,0.5901141,0.7256793,0.6485074,0.5746586,0.3744619,0.7812474,0.1964524,0.1984243,0.1696083,0.1671452,0.2212308,0.2444769,0.2931274,0.5331506,0.3861143,0.2997896,0.2993025,0.4946494,0.1521928,0.8763418,0.4446838,0.2846807,0.122975,0.3391282,2.731662,2.297214,7.524301,1.611704,2.469042,6.140225,48.10321,5.255517,4.992715,19.87174,298.8035,4.408811,0,0
