year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1997,0.013105828,0.006015854,0.044230376,0.003014142,0.001107349,0.198840155,0.004950283,1.255721255,1.227203057,0.983976889,2.299403231,3.146281321,0.477120284,0.408247708,6.074602538,0.998995652,0.685615945,0.164138272,0.21254101,0.005724133,7.196831434,5.360204623,9.953539962,6.549422028,5.294747416,1.969992739,0.490186401,0.105556244,2.683949519,0.052192211,0.15533649,0.126367889,0.06861439,0.012611113,0.113242733,0.275550307,2.441241358,0.197587044,1.49263016,0.078108279,7.382545217,0.1320781,0.354220468,0.040936031,0.083737793,37.89183123,2.444588679,0.993398256,47.31036075,11.68034311,4.448034189,0.224786538,50.72047858,17.13822085,29.96145651,14.99661396,0.010087544,199.9594623,0.09891673
1998,0.013140958,0.006021133,0.044520302,0.003025304,0.00114295,0.20693384,0.005081291,1.26607934,1.234360075,1.000888986,2.312857642,3.194885094,0.484896679,0.412398143,6.098997717,1.019852636,0.69885146,0.174390897,0.214887747,0.005809407,7.278513245,5.40699883,10.10270928,6.613014038,5.340733555,1.974245985,0.496080168,0.106697792,2.709836358,0.052977011,0.155922253,0.127285885,0.069487806,0.012784357,0.114026445,0.276694075,2.453868811,0.198938892,1.516477547,0.079445282,7.425461623,0.1323557,0.354296491,0.041465902,0.085169848,37.8538883,2.443533906,0.993220008,47.31660434,11.68278415,4.448648585,0.224746217,50.76056811,17.15729113,29.95923868,14.99533528,0.010089958,199.947783,0.097956374
1999,0.013176087,0.006026411,0.044810227,0.003036465,0.001178551,0.215027525,0.005212298,1.276437425,1.241517094,1.017801082,2.326312052,3.243488868,0.492673074,0.416548579,6.123392896,1.04070962,0.712086975,0.184643521,0.217234484,0.005894681,7.360195057,5.453793038,10.2518786,6.676606047,5.386719693,1.978499231,0.501973935,0.107839341,2.735723198,0.053761811,0.156508016,0.128203881,0.070361223,0.012957602,0.114810156,0.277837844,2.466496264,0.200290741,1.540324934,0.080782286,7.468378028,0.1326333,0.354372513,0.041995772,0.086601902,37.81594538,2.442479132,0.993041759,47.32284792,11.68522519,4.449262981,0.224705896,50.80065764,17.17636142,29.95702085,14.9940566,0.010092373,199.9361038,0.096996017
2000,0.013211217,0.006031689,0.045100153,0.003047626,0.001214152,0.223121209,0.005343306,1.286795509,1.248674113,1.034713178,2.339766462,3.292092642,0.500449469,0.420699015,6.147788075,1.061566604,0.725322491,0.194896145,0.219581221,0.005979954,7.441876868,5.500587245,10.40104792,6.740198057,5.432705832,1.982752477,0.507867702,0.108980889,2.761610038,0.054546612,0.157093779,0.129121877,0.07123464,0.013130846,0.115593867,0.278981613,2.479123717,0.201642589,1.564172321,0.082119289,7.511294434,0.1329109,0.354448536,0.042525642,0.088033957,37.77800245,2.441424358,0.992863511,47.32909151,11.68766623,4.449877377,0.224665575,50.84074717,17.1954317,29.95480302,14.99277792,0.010094788,199.9244245,0.09603566
2001,0.013246346,0.006036967,0.045390078,0.003058787,0.001249753,0.231214894,0.005474313,1.297153594,1.255831132,1.051625275,2.353220873,3.340696415,0.508225864,0.424849451,6.172183255,1.082423588,0.738558006,0.205148769,0.221927958,0.006065228,7.523558679,5.547381453,10.55021725,6.803790066,5.478691971,1.987005724,0.513761469,0.110122437,2.787496877,0.055331412,0.157679542,0.130039874,0.072108056,0.01330409,0.116377578,0.280125382,2.49175117,0.202994437,1.588019708,0.083456292,7.55421084,0.1331885,0.354524558,0.043055513,0.089466011,37.74005953,2.440369585,0.992685263,47.33533509,11.69010726,4.450491774,0.224625255,50.8808367,17.21450198,29.95258519,14.99149925,0.010097202,199.9127453,9.51E-02
2002,0.013281475,0.006042245,0.045680004,0.003069948,0.001285354,0.239308579,0.005605321,1.307511679,1.262988151,1.068537371,2.366675283,3.389300189,0.516002258,0.428999887,6.196578434,1.103280572,0.751793521,0.215401393,0.224274694,0.006150502,7.605240491,5.59417566,10.69938657,6.867382075,5.524678109,1.99125897,0.519655236,0.111263985,2.813383717,0.056116212,0.158265306,0.13095787,0.072981473,0.013477335,0.117161289,0.281269151,2.504378623,0.204346285,1.611867094,0.084793295,7.597127245,0.1334661,0.354600581,0.043585383,0.090898065,37.7021166,2.439314811,0.992507015,47.34157868,11.6925483,4.45110617,0.224584934,50.92092623,17.23357226,29.95036736,14.99022057,0.010099617,199.901066,9.41E-02
2003,0.013316605,0.006047523,0.045969929,0.003081109,0.001320955,0.247402264,0.005736329,1.317869764,1.27014517,1.085449468,2.380129693,3.437903962,0.523778653,0.433150323,6.220973613,1.124137556,0.765029036,0.225654017,0.226621431,0.006235776,7.686922302,5.640969868,10.84855589,6.930974085,5.570664248,1.995512216,0.525549003,0.112405533,2.839270557,0.056901013,0.158851069,0.131875866,0.073854889,0.013650579,0.117945,0.28241292,2.517006075,0.205698133,1.635714481,0.086130298,7.640043651,0.1337437,0.354676604,0.044115253,0.09233012,37.66417368,2.438260038,0.992328767,47.34782226,11.69498934,4.451720566,0.224544613,50.96101575,17.25264255,29.94814953,14.98894189,0.010102032,199.8893868,9.32E-02
2004,0.013351734,0.006052802,0.046259855,0.00309227,0.001356556,0.255495949,0.005867336,1.328227849,1.277302189,1.102361564,2.393584104,3.486507736,0.531555048,0.437300758,6.245368792,1.14499454,0.778264551,0.235906641,0.228968168,0.006321049,7.768604113,5.687764075,10.99772521,6.994566094,5.616650387,1.999765462,0.53144277,0.113547081,2.865157396,0.057685813,0.159436832,0.132793862,0.074728306,0.013823823,0.118728711,0.283556689,2.529633528,0.207049981,1.659561868,0.087467301,7.682960057,0.1340213,0.354752626,0.044645124,0.093762174,37.62623075,2.437205264,0.992150519,47.35406585,11.69743038,4.452334962,0.224504292,51.00110528,17.27171283,29.9459317,14.98766321,0.010104446,199.8777075,9.22E-02
2005,0.013386864,0.00605808,0.04654978,0.003103432,0.001392157,0.263589634,0.005998344,1.338585934,1.284459208,1.119273661,2.407038514,3.535111509,0.539331443,0.441451194,6.269763972,1.165851524,0.791500066,0.246159265,0.231314905,0.006406323,7.850285925,5.734558283,11.14689453,7.058158104,5.662636525,2.004018708,0.537336537,0.114688629,2.891044236,0.058470613,0.160022595,0.133711858,0.075601723,0.013997068,0.119512422,0.284700458,2.542260981,0.208401829,1.683409255,0.088804304,7.725876462,0.1342989,0.354828649,0.045174994,0.095194229,37.58828783,2.436150491,0.991972271,47.36030943,11.69987142,4.452949358,0.224463972,51.04119481,17.29078311,29.94371387,14.98638453,0.010106861,199.8660283,9.12E-02
2006,0.013421993,0.006063358,0.046839706,0.003114593,0.001427758,0.271683319,0.006129352,1.348944019,1.291616226,1.136185757,2.420492925,3.583715283,0.547107838,0.44560163,6.294159151,1.186708508,0.804735581,0.25641189,0.233661642,0.006491597,7.931967736,5.781352491,11.29606385,7.121750113,5.708622664,2.008271955,0.543230304,0.115830177,2.916931075,0.059255413,0.160608358,0.134629855,0.076475139,0.014170312,0.120296134,0.285844226,2.554888434,0.209753677,1.707256642,0.090141307,7.768792868,0.1345765,0.354904672,0.045704865,0.096626283,37.55034491,2.435095717,0.991794023,47.36655302,11.70231245,4.453563755,0.224423651,51.08128434,17.3098534,29.94149604,14.98510585,0.010109275,199.8543491,9.03E-02
2007,0.013457123,0.006068636,0.047129631,0.003125754,0.001463359,0.279777004,0.006260359,1.359302104,1.298773245,1.153097853,2.433947335,3.632319057,0.554884233,0.449752066,6.31855433,1.207565492,0.817971096,0.266664514,0.236008378,0.006576871,8.013649547,5.828146698,11.44523317,7.185342123,5.754608803,2.012525201,0.549124071,0.116971725,2.942817915,0.060040214,0.161194122,0.135547851,0.077348556,0.014343556,0.121079845,0.286987995,2.567515887,0.211105525,1.731104028,0.09147831,7.811709274,0.1348541,0.354980694,0.046234735,0.098058338,37.51240198,2.434040943,0.991615775,47.3727966,11.70475349,4.454178151,0.22438333,51.12137387,17.32892368,29.93927821,14.98382717,0.01011169,199.8426698,8.93E-02
