<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,MortFleetGroup,,
,,,
year,fleet,group,value
1995,1,12,0.01343594
1995,1,13,0.03262686
1995,1,14,0.0273472
1995,1,15,0.002273188
1995,1,16,0.01712077
1995,1,17,0.06423386
1995,1,18,0.02679333
1995,1,19,0.03668669
1995,1,20,0.09406509
1995,1,21,0.000152291
1995,1,22,1.64E-06
1995,1,23,3.70E-06
1995,1,24,0.002272321
1995,1,25,0.000142694
1995,1,26,0.005170206
1995,1,27,0.003183896
1995,1,29,0.01016782
1995,1,30,0.006393694
1995,1,31,0.03153298
1995,1,32,0.03587756
1995,1,33,0.005237684
1995,1,34,0.05557114
1995,1,35,0.001353854
1995,1,36,0.005460403
1995,1,37,0.003315001
1995,1,38,0.002698811
1995,1,39,6.88E-08
1995,1,40,0.05138791
1995,1,42,0.000547406
1995,1,43,3.87E-05
1995,1,46,2.09E-08
1995,1,47,0.001125007
1995,1,49,2.38E-05
1995,1,50,0.000960025
1995,1,52,4.35E-06
1995,2,6,0.002855966
1995,2,8,0.004196741
1995,2,9,3.79E-07
1995,2,10,0.0077673
1995,2,12,9.15E-08
1995,2,13,0.00137973
1995,2,14,3.65E-05
1995,2,15,0.0011757
1995,2,16,2.55E-06
1995,2,17,1.34E-05
1995,2,18,4.64E-05
1995,2,22,5.24E-08
1995,2,24,5.57E-06
1995,2,26,0.000339197
1995,2,27,0.001484489
1995,2,28,5.03E-05
1995,2,29,0.000195035
1995,2,30,0.01061449
1995,2,31,0.000171847
1995,2,37,7.57E-08
1995,2,38,0.000128534
1995,2,40,0.00033
1995,2,41,0.007227235
1995,2,42,0.000243206
1995,2,43,0.04348025
1995,2,45,5.71E-05
1995,2,47,4.23E-06
1995,2,48,2.01E-06
1995,2,50,1.16E-07
1995,3,6,0.09267994
1995,3,7,0.02011204
1995,3,8,0.00010428
1995,3,9,3.03E-06
1995,3,13,0.001221348
1995,3,16,3.26E-07
1995,3,17,3.34E-07
1995,3,18,9.47E-05
1995,3,19,0.000494605
