<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,MortFleetGroup,,
,,,
year,fleet,group,value
1997,2,8,0.004663046
1997,2,9,4.21E-07
1997,2,10,0.008630334
1997,2,12,1.02E-07
1997,2,13,0.001533034
1997,2,14,4.05E-05
1997,2,15,0.001306333
1997,2,16,2.83E-06
1997,2,17,1.49E-05
1997,2,18,5.15E-05
1997,2,22,5.82E-08
1997,2,24,6.19E-06
1997,2,26,0.000376885
1997,2,27,0.001649432
1997,2,28,5.59E-05
1997,2,29,0.000216705
1997,2,30,0.01179388
1997,2,31,0.000190941
1997,2,37,8.42E-08
1997,2,38,0.000142815
1997,2,40,0.000366667
1997,2,41,0.008030264
1997,2,42,0.000270229
1997,2,43,0.0483114
1997,2,45,6.34E-05
1997,2,47,4.70E-06
1997,2,48,2.23E-06
1997,2,50,1.29E-07
1997,3,6,0.09267996
1997,3,7,0.02011204
1997,3,8,0.00010428
1997,3,9,3.03E-06
1997,3,13,0.001221348
1997,3,16,3.26E-07
1997,3,17,3.34E-07
1997,3,18,9.47E-05
1997,3,19,0.000494605
1997,3,24,9.73E-06
1997,3,25,9.88E-08
1997,3,26,4.58E-05
1997,3,27,0.005440515
1997,3,28,3.56E-05
1997,3,29,8.19E-05
1997,3,30,0.01398775
1997,3,31,6.70E-07
1997,3,40,0.001948611
1997,3,41,2.42E-06
1997,3,42,6.03E-05
1997,3,43,0.000767857
1997,3,45,0.000185801
1997,3,47,3.31E-07
1997,4,3,0.000801225
1997,4,6,6.32E-07
1997,4,7,0.000162381
1997,4,8,0.001340905
1997,4,9,0.000287333
1997,4,10,5.04E-05
1997,4,12,6.04E-05
1997,4,13,6.79E-05
1997,4,14,0.001676024
1997,4,15,1.21E-05
1997,4,16,0.000595941
1997,4,17,0.006384288
1997,4,18,0.000881818
1997,4,19,0.000734458
1997,4,20,0.000153846
1997,4,21,1.14E-05
1997,4,22,1.82E-05
1997,4,23,3.37E-05
1997,4,24,5.61E-06
1997,4,25,2.21E-06
1997,4,26,5.57E-05
1997,4,27,0.001864871
1997,4,28,0.000318627
1997,4,29,0.006832016
1997,4,40,4.72E-05
1997,4,42,3.51E-05
1997,4,43,0.000908772
1997,4,45,7.69E-06
1997,4,47,0.00010269
1997,4,48,0.000160659
1997,4,49,1.62E-05
1997,4,50,0.000141628
1997,4,52,4.45E-06
1997,5,3,0.000204466
1997,5,8,0.000107396
1997,5,9,2.65E-05
1997,5,10,0.00155449
1997,5,12,5.71E-05
1997,5,13,0.002284478
1997,5,14,0.000963019
1997,5,15,4.73E-06
1997,5,16,8.56E-06
1997,5,17,0.001565929
1997,5,18,0.000329243
1997,5,19,0.000808003
1997,5,20,4.08E-05
1997,5,21,2.91E-06
1997,5,22,1.21E-06
1997,5,23,6.35E-07
1997,5,24,3.34E-08
1997,5,25,1.37E-06
1997,5,26,0.000465999
1997,5,27,0.000197541
1997,5,29,0.000101645
1997,5,30,5.41E-05
1997,5,31,0.001470894
1997,5,33,7.25E-05
1997,5,47,6.75E-05
1997,5,48,1.92E-05
1997,5,49,6.88E-06
1997,5,50,9.85E-05
1997,5,52,2.12E-07
1997,6,50,0.000503595
1997,7,47,1.63E-06
1997,8,8,8.23E-07
1997,8,13,0.005730338
1997,8,16,3.23E-05
1997,8,24,2.62E-06
1997,8,27,0.004337427
1997,8,29,9.69E-07
1997,8,47,1.78E-05
1997,8,50,5.67E-05
1997,9,8,0.004762497
1997,9,9,0.007440723
1997,9,10,0.000196187
1997,9,12,5.30E-07
1997,9,13,0.000184787
1997,9,14,0.001056959
1997,9,15,1.11E-05
1997,9,16,0.000318434
1997,9,17,0.03508034
1997,9,18,8.06E-05
1997,9,19,3.08E-05
1997,9,20,0.004049558
1997,9,21,0.000122621
1997,9,22,0.004212033
1997,9,24,0.001995769
1997,9,25,4.41E-06
1997,9,26,0.005392801
1997,9,27,0.001678778
1997,9,28,0.000340639
1997,9,29,2.09E-05
1997,9,30,6.45E-06
1997,9,35,2.37E-05
1997,9,40,1.17E-05
1997,9,42,1.45E-05
1997,9,43,4.94E-05
1997,9,45,1.35E-06
1997,10,6,0.04103655
1997,10,7,0.057702
1997,10,8,1.05E-05
1997,10,29,9.07E-05
1997,10,43,0.000101467
1997,10,45,0.000295869
1997,11,6,0.05362932
1997,11,7,0.03041928
1997,11,8,0.001058287
1997,11,9,0.000130336
1997,11,10,0.00040017
1997,11,12,2.25E-05
1997,11,15,1.75E-05
1997,11,17,0.01804997
1997,11,24,5.60E-05
1997,11,25,5.15E-06
1997,11,26,0.000932538
1997,11,27,0.000498022
1997,11,28,0.001779431
1997,11,29,0.001828341
1997,11,38,3.58E-06
1997,11,41,4.75E-06
1997,11,42,0.003244146
1997,11,43,0.02119762
1997,11,45,0.0397853
1997,11,47,9.73E-05
1997,12,11,4.43E-06
1997,12,15,1.67E-06
1997,12,41,1.38E-06
1998,1,3,0.01047267
1998,1,8,0.004560323
1998,1,9,0.003406942
1998,1,10,0.06260909
1998,1,11,4.25E-06
1998,1,12,0.01316024
1998,1,13,0.03195736
1998,1,14,0.02678603
1998,1,15,0.002226543
1998,1,16,0.01676945
1998,1,17,0.06291579
1998,1,18,0.02624354
1998,1,19,0.03593389
1998,1,20,0.09213489
1998,1,21,0.000149166
1998,1,22,1.60E-06
1998,1,23,3.63E-06
1998,1,24,0.002225694
1998,1,25,0.000139766
1998,1,26,0.005064114
1998,1,27,0.003118563
1998,1,29,0.009959177
1998,1,30,0.006262496
1998,1,31,0.03088593
1998,1,32,0.03514136
1998,1,33,0.005130209
1998,1,34,0.05443082
1998,1,35,0.001326073
1998,1,36,0.005348355
1998,1,37,0.003246978
1998,1,38,0.002643432
1998,1,39,6.74E-08
1998,1,40,0.05033344
1998,1,42,0.000536173
1998,1,43,3.80E-05
1998,1,46,2.05E-08
1998,1,47,0.001101922
1998,1,49,2.33E-05
1998,1,50,0.000940325
1998,1,52,4.27E-06
1998,2,6,0.002677953
1998,2,8,0.003935155
1998,2,9,3.55E-07
1998,2,10,0.00728316
1998,2,12,8.58E-08
1998,2,13,0.001293731
1998,2,14,3.42E-05
1998,2,15,0.001102418
1998,2,16,2.39E-06
1998,2,17,1.26E-05
1998,2,18,4.35E-05
1998,2,22,4.91E-08
1998,2,24,5.22E-06
1998,2,26,0.000318054
1998,2,27,0.00139196
1998,2,28,4.72E-05
1998,2,29,0.000182878
1998,2,30,0.009952881
1998,2,31,0.000161136
1998,2,37,7.10E-08
1998,2,38,0.000120522
1998,2,40,0.000309431
1998,2,41,0.006776758
1998,2,42,0.000228047
1998,2,43,0.04077011
1998,2,45,5.35E-05
1998,2,47,3.96E-06
1998,2,48,1.88E-06
1998,2,50,1.09E-07
1998,3,6,0.2639099
1998,3,7,0.05726986
1998,3,8,0.000296941
1998,3,9,8.64E-06
1998,3,13,0.003477839
1998,3,16,9.29E-07
1998,3,17,9.51E-07
1998,3,18,0.000269654
1998,3,19,0.001408407
1998,3,24,2.77E-05
1998,3,25,2.81E-07
1998,3,26,0.000130364
1998,3,27,0.01549209
1998,3,28,0.000101507
1998,3,29,0.000233101
1998,3,30,0.03983071
1998,3,31,1.91E-06
1998,3,40,0.005548749
1998,3,41,6.88E-06
1998,3,42,0.000171722
1998,3,43,0.002186503
1998,3,45,0.000529074
1998,3,47,9.42E-07
1998,4,3,0.000963244
1998,4,6,7.59E-07
1998,4,7,0.000195217
1998,4,8,0.001612054
1998,4,9,0.000345436
1998,4,10,6.06E-05
